length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_eq,nb_underscore,nb_percent,nb_slash,nb_colon,nb_semicolumn,nb_space,nb_www,nb_com,http_in_path,https_token,ratio_digits_url,ratio_digits_host,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,nb_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,nb_extCSS,ratio_extRedirection,ratio_extErrors,login_form,external_favicon,links_in_tags,ratio_intMedia,ratio_extMedia,safe_anchor,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,label
29,13.0,1,3,0,0,0,0,0,0,0.0,4,1,0,0,0,0,0,1,0.344827586,0.4940410959499821,1,1,1,3,0,0,0,0,10,0,2,2,2,5,3,5,3.0,2.5,2.833333333,1,0,0,2,10,0.9,0.1,0,0.0,0.0,0,0,83.33333333,0.0,0.0,0.0,0,1,0,1,0.0,-1.0,0.0,1,0,0,1
21,9.0,0,2,0,0,0,0,0,0,0.0,4,1,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,2,0,2,3,2,4,3,2,3.0,3.0,2.0,0,0,0,0,59,0.644067797,0.3559322029999999,0,0.238095238,0.142857143,0,0,81.81818182,100.0,0.0,57.77777778,0,1,1,0,68.0,7951.0,14198.0,0,0,3,0
65,18.0,0,2,3,0,0,0,0,1,0.0,4,1,0,0,1,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,8,3,3,3,4,10,10,7,5.75,6.5,5.5,0,0,0,0,197,0.7005076140000001,0.299492386,3,0.152542373,0.033898305,0,1,58.82352941,93.75,6.25,35.9375,0,1,1,0,984.0,5224.0,137.0,0,0,8,0
45,16.0,0,2,0,0,0,0,0,1,0.0,4,1,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,5,1,2,2,4,9,9,7,5.8,5.5,6.0,0,1,0,0,265,0.966037736,0.033962264,0,0.5555555560000001,0.0,0,0,100.0,100.0,0.0,64.0,0,0,1,0,904.0,7131.0,12.0,0,0,7,0
29,18.0,0,2,0,0,0,0,0,0,0.0,4,1,0,0,1,0,0,1,0.0,0.0,0,0,0,2,0,0,0,0,3,3,2,3,2,10,10,2,5.0,6.5,2.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,1,0,0,73.0,3593.0,8552690.0,0,1,0,1
18,10.0,0,2,0,0,0,0,0,0,0.0,3,1,0,0,1,0,0,1,0.0,0.0,0,0,0,2,0,1,0,0,2,3,3,3,0,4,3,0,3.0,3.0,0.0,0,0,0,0,93,0.8602150540000001,0.139784946,1,0.307692308,0.153846154,1,1,87.09677419,77.77777778,22.22222222,33.33333333,0,1,1,0,341.0,8067.0,657137.0,0,0,3,0
50,17.0,0,3,0,0,0,0,0,2,0.0,4,1,0,0,1,0,0,0,0.02,0.058823529,0,0,0,3,0,0,0,0,7,4,3,3,3,9,9,5,4.571428571,6.0,4.0,2,0,0,0,747,0.99690881,0.00309119,1,0.0,0.0,0,1,71.42857143,100.0,0.0,100.0,0,1,0,0,1703.0,7427.0,193.0,0,0,7,0
44,16.0,0,2,0,0,0,0,0,0,0.0,6,1,0,0,1,0,0,0,0.0,0.0,0,0,0,2,0,0,1,0,5,3,2,3,2,9,8,9,5.4,5.5,5.333333333,0,0,0,0,158,0.601265823,0.398734177,1,0.063492063,0.063492063,0,1,26.08695652,3.333333333,96.66666667,46.15384615,0,0,1,0,173.0,8957.0,573.0,0,0,6,0
45,17.0,0,3,0,0,0,0,0,1,0.0,4,1,0,0,1,0,0,0,0.022222222,0.058823529,0,0,0,3,0,0,0,0,6,4,3,3,3,9,9,5,4.666666667,6.0,4.0,0,0,0,0,352,0.988636364,0.011363636,1,0.0,0.0,0,1,71.42857143,100.0,0.0,100.0,0,1,0,0,1703.0,7427.0,192.0,0,0,7,0
29,20.0,0,2,0,0,0,0,0,0,0.0,3,1,0,0,1,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,2,3,3,3,0,13,13,0,8.0,8.0,0.0,0,0,0,0,124,0.919354839,0.0806451609999999,0,0.1,0.0,0,0,100.0,100.0,0.0,0.0,0,1,0,0,49.0,317.0,0.0,0,0,0,1
41,20.0,0,3,0,0,0,0,0,0,0.0,3,1,0,0,1,1,0,0,0.0,0.0,0,0,0,3,0,0,0,0,4,3,3,3,3,12,12,8,6.5,7.5,5.5,0,0,0,0,747,0.990980834,0.009019166,0,0.0,0.0,0,1,0.0,100.0,0.0,90.32258065,0,1,1,0,3285.649999999987,8048.0,2615.0,0,0,6,0
36,29.0,0,2,0,0,0,0,0,0,0.0,2,1,0,0,0,0,0,1,0.027777778,0.034482759,0,0,0,2,0,0,1,1,2,1,8,8,0,16,16,0,12.0,12.0,0.0,0,1,0,0,14,0.071428571,0.928571429,0,0.846153846,0.615384615,0,1,0.0,0.0,0.0,14.28571429,0,1,0,0,374.0,7295.0,0.0,0,1,5,1
63,19.0,0,2,1,0,0,0,0,0,0.0,8,1,0,0,1,0,0,1,0.0,0.0,0,0,0,2,1,0,0,0,8,3,2,3,2,11,11,9,5.5,7.0,5.0,1,0,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,1,0,0,111.0,255.0,0.0,0,1,0,1
26,19.0,0,2,0,0,0,0,0,0,0.0,2,1,0,0,0,0,0,1,0.0,0.0,0,0,0,2,0,0,0,0,2,0,7,7,0,8,8,0,7.5,7.5,0.0,0,0,0,0,12,0.0,1.0,2,0.583333333,0.0,0,1,0.0,0.0,100.0,0.0,0,1,0,0,252.0,7446.0,0.0,0,1,1,1
36,9.0,0,1,0,0,0,0,0,1,0.0,4,1,0,0,0,0,0,1,0.0,0.0,0,0,0,1,0,1,0,1,4,0,4,4,4,8,4,8,5.25,4.0,5.666666667,1,0,0,0,183,0.967213115,0.032786885,0,0.333333333,0.0,0,1,87.5,93.33333333,6.666666667,89.65517241,0,0,0,0,310.0,2247.0,50432.0,0,0,5,0
39,31.0,0,2,0,0,0,0,0,0,0.0,3,1,0,0,0,0,0,1,0.0,0.0,0,0,0,2,0,0,1,0,2,1,12,12,0,14,14,0,13.0,13.0,0.0,0,0,0,0,9,0.5555555560000001,0.444444444,0,0.0,0.0,0,1,50.0,0.0,100.0,0.0,0,1,0,0,149.0,-1.0,0.0,0,1,0,1
124,46.0,1,5,0,0,1,2,3,2,0.0,5,1,0,0,1,1,0,0,0.193548387,0.0,0,1,0,3,0,0,0,0,13,5,2,3,2,17,13,17,7.461538462,7.6,7.375,0,0,0,0,51,1.0,0.0,0,0.0,0.0,0,0,100.0,100.0,0.0,100.0,0,1,1,0,25.0,3993.0,5707171.0,0,1,0,1
25,16.0,0,2,0,0,0,0,0,0,0.0,3,1,0,0,1,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,2,4,3,3,0,8,8,0,5.5,5.5,0.0,0,0,0,0,211,0.933649289,0.0663507109999999,0,0.357142857,0.285714286,0,1,82.35294118,100.0,0.0,69.69696970000001,0,0,0,0,880.0,2041.0,4297684.0,0,0,2,0
93,21.0,0,2,5,0,0,0,0,0,0.0,6,1,0,0,0,0,0,0,0.086021505,0.0,0,0,0,2,0,0,0,0,11,1,2,4,2,12,12,12,6.454545455,8.0,6.1111111110000005,0,0,0,0,48,0.8125,0.1875,0,0.7777777779999999,0.0,0,0,86.66666667,0.0,100.0,45.45454545,0,1,0,0,361.0,5118.0,92095.0,0,0,5,0
263,25.0,1,5,10,0,1,3,4,5,3.709999999999127,5,2,0,1,0,1,1,0,0.3527272729999999,0.0,1,0,0,3,0,0,1,0,24,15,1,5,1,64,15,64,7.40625,10.0,7.322580645,1,1,0,0,12,0.333333333,0.666666667,0,0.0,0.25,0,1,33.33333333,0.0,0.0,0.0,0,1,1,0,349.0,6591.0,30.0,0,1,4,0
25,17.0,0,2,0,0,0,0,0,0,0.0,3,1,0,0,0,0,0,1,0.0,0.0,0,0,0,2,0,0,0,0,2,0,5,5,0,6,6,0,5.5,5.5,0.0,0,0,0,2,8,1.0,0.0,0,0.0,0.0,0,0,100.0,0.0,0.0,0.0,0,1,0,1,0.0,104.0,63985.0,0,1,0,1
26,18.0,0,2,0,0,0,0,0,0,0.0,3,1,0,0,1,0,0,1,0.0,0.0,0,0,0,2,0,0,0,0,2,3,3,3,0,10,10,0,6.5,6.5,0.0,0,0,0,0,14,0.0,1.0,0,0.285714286,0.0,0,1,0.0,0.0,100.0,0.0,0,1,0,0,85.0,5029.0,2839278.0,0,0,3,0
41,21.0,0,2,1,0,0,0,0,0,0.0,3,1,0,0,1,0,0,0,0.0,0.0,0,0,0,2,0,0,1,0,4,4,3,3,5,13,13,5,6.5,8.0,5.0,0,0,0,0,63,0.793650794,0.206349206,0,0.307692308,0.0,0,0,40.0,95.45454545,4.545454545,70.0,0,0,0,0,387.0,3996.0,16360.0,0,0,4,0
84,17.0,0,2,8,0,0,0,0,0,0.0,5,1,0,0,1,0,0,1,0.011904762,0.0,0,0,0,2,0,0,0,1,12,5,1,3,1,9,9,8,5.083333333,6.0,4.9,2,0,0,0,95,0.4315789470000001,0.568421053,1,0.222222222,0.222222222,1,1,18.75,0.0,100.0,60.0,0,1,0,0,342.0,5136.0,1300.0,0,0,7,0
20,12.0,0,2,0,0,0,0,0,0,0.0,3,1,0,0,0,0,0,1,0.0,0.0,0,0,0,2,0,0,0,0,1,0,6,6,0,6,6,0,6.0,6.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,1,0,1,0.0,2208.0,0.0,0,0,0,1
30,22.0,0,2,0,0,0,0,0,0,0.0,3,1,0,0,0,0,0,1,0.0,0.0,0,0,0,2,0,0,1,0,2,1,8,8,0,9,9,0,8.5,8.5,0.0,0,1,0,0,21,0.285714286,0.7142857140000001,3,0.0,0.0,0,1,46.15384615,0.0,0.0,0.0,0,1,0,0,371.0,7298.0,0.0,0,0,5,0
95,23.0,0,3,2,0,0,0,0,0,2.0,7,1,0,1,0,0,0,1,0.042105263,0.0,0,0,0,3,1,0,0,0,11,2,3,7,3,15,11,15,6.6363636360000005,9.0,6.1111111110000005,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,1,1,0,2430.0,7431.0,27573.0,0,1,5,0
96,22.0,0,1,1,0,0,0,0,1,0.0,10,1,0,0,0,0,0,1,0.0,0.0,0,0,0,1,1,0,0,0,10,2,2,18,2,18,18,9,7.5,18.0,6.333333333,3,0,0,0,5,1.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,261.0,835.0,0.0,0,1,0,1
22,13.0,0,2,0,0,0,0,0,0,0.0,3,1,0,0,1,0,0,0,0.0,0.0,0,0,0,2,0,1,0,0,2,3,3,3,0,5,5,0,4.0,4.0,0.0,0,0,0,0,162,0.444444444,0.5555555560000001,4,0.011111111,0.0,0,1,20.0,2.777777778,97.22222222,96.66666667,0,1,1,0,301.0,1159.0,374374.0,0,0,1,0
27,20.0,0,2,0,0,0,0,0,0,0.0,2,1,0,0,0,0,0,1,0.0,0.0,0,0,0,2,0,0,0,1,2,0,6,6,0,9,9,0,7.5,7.5,0.0,0,1,0,0,104,0.875,0.125,4,0.076923077,0.076923077,0,1,50.0,100.0,0.0,0.0,0,1,1,0,1050.0,5158.0,6676220.0,0,0,8,0
56,17.0,0,3,3,0,0,0,0,0,0.0,3,1,0,0,0,0,0,1,0.035714286,0.0,0,0,0,3,0,0,0,0,7,1,2,6,2,9,6,9,5.571428571,6.0,5.4,0,0,0,0,36,0.7777777779999999,0.222222222,1,0.0,0.0,0,1,33.33333333,0.0,0.0,0.0,0,1,0,0,248.0,5230.0,2585773.0,0,0,7,0
31,22.0,0,2,0,0,0,0,0,0,0.0,3,1,0,0,1,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,2,4,3,3,0,14,14,0,8.5,8.5,0.0,0,0,0,0,39,0.948717949,0.051282051,0,1.0,0.0,0,0,100.0,100.0,0.0,93.10344828,0,1,1,0,422.0,5421.0,0.0,0,0,2,0
133,25.0,0,2,2,0,1,1,2,3,1.0,7,2,0,0,0,1,0,0,0.067669173,0.0,1,0,0,2,1,0,1,1,17,0,1,2,1,33,10,33,6.058823529,6.333333333,6.0,0,0,0,0,26,0.115384615,0.884615385,0,0.0,0.086956522,0,1,7.692307692000001,0.0,0.0,0.0,0,1,0,0,381.0,8019.0,0.0,0,0,4,1
103,17.0,0,3,0,0,0,0,0,5,0.0,4,1,0,0,1,0,0,1,0.0,0.0,0,0,0,3,0,0,0,0,13,3,2,3,2,10,9,10,6.153846154,6.0,6.181818182000001,0,0,0,0,12,1.0,0.0,0,0.0,0.0,0,0,100.0,0.0,0.0,0.0,0,1,0,0,200.0,3453.0,378322.0,0,1,4,0
62,8.0,0,1,3,0,0,0,0,0,0.0,5,1,0,0,0,0,0,0,0.096774194,0.0,1,0,0,1,0,1,0,0,7,0,2,5,2,14,5,14,6.428571429,5.0,6.666666667,0,0,0,0,43,0.813953488,0.186046512,0,0.0,0.0,0,0,100.0,0.0,0.0,38.46153846,0,0,0,0,164.0,-1.0,842241.0,0,0,4,0
55,47.0,1,4,0,0,0,0,0,0,0.0,3,1,0,0,0,0,0,1,0.254545455,0.29787234,0,0,0,3,0,0,1,0,4,3,1,1,0,30,27,0,10.0,10.0,0.0,0,0,0,0,22,0.227272727,0.772727273,2,0.0,0.0,0,1,0.0,100.0,0.0,100.0,0,1,1,0,227.0,5616.0,0.0,0,1,5,1
92,22.0,1,2,1,0,0,0,0,0,0.0,8,1,0,0,0,0,0,1,0.152173913,0.0,0,0,0,2,1,0,0,0,7,2,2,15,2,32,15,32,10.14285714,15.0,9.333333333,3,0,0,0,11,1.0,0.0,0,0.0,0.0,0,0,100.0,0.0,0.0,0.0,0,1,1,0,0.0,-1.0,0.0,0,1,1,1
100,22.0,0,3,0,0,0,0,0,5,0.0,4,1,0,0,1,0,0,1,0.0,0.0,0,0,0,3,0,0,1,0,10,3,3,3,3,14,14,12,8.0,8.5,7.875,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,1,1,0,70.0,5044.0,380.0,0,0,5,0
38,13.0,0,2,0,0,0,0,0,0,0.0,4,1,0,0,0,0,0,1,0.0,0.0,0,0,0,2,0,0,0,0,4,0,3,10,3,10,10,8,6.25,10.0,5.0,0,0,0,0,5,0.2,0.8,1,1.0,0.0,0,1,0.0,0.0,0.0,0.0,0,1,0,0,1222.0,6083.0,0.0,0,1,1,1
78,12.0,1,4,0,0,1,2,3,0,0.0,5,1,2,0,0,0,0,1,0.128205128,0.4940410959499821,1,1,1,3,0,0,0,0,16,2,1,2,1,16,3,16,4.1875,2.5,4.833333333,1,0,0,2,25,0.16,0.84,0,0.428571429,0.380952381,1,1,0.0,0.0,100.0,30.76923077,0,1,1,1,0.0,-1.0,0.0,1,1,0,1
34,15.0,0,1,0,0,0,0,0,0,0.0,5,1,0,0,0,1,1,1,0.0,0.0,0,0,0,1,0,0,0,0,3,1,4,11,4,11,11,5,6.666666667,11.0,4.5,0,0,0,0,37,1.0,0.0,0,0.0,0.0,0,0,100.0,100.0,0.0,100.0,0,1,0,0,91.0,1369.0,0.0,0,1,0,1
39,17.0,0,1,0,0,0,0,0,0,0.0,4,1,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,1,3,1,3,13,3,13,13,9,8.333333332999999,13.0,6.0,0,0,0,0,13,0.846153846,0.153846154,0,0.0,0.0,0,0,60.0,100.0,0.0,0.0,0,1,0,0,81.0,-1.0,0.0,0,1,0,1
87,17.0,0,2,4,0,0,0,0,0,0.0,9,1,0,0,1,0,0,0,0.091954023,0.0,0,0,0,2,0,0,0,0,12,6,2,3,2,9,9,8,5.25,6.0,5.1,0,0,0,0,50,0.64,0.36,1,0.444444444,0.055555556,0,1,50.0,50.0,50.0,44.44444444,0,1,0,0,0.0,8721.0,6085.0,0,0,7,0
70,16.0,0,3,0,0,1,0,2,0,0.0,6,1,0,0,0,0,0,1,0.071428571,0.3125,0,0,0,3,0,1,0,1,10,0,3,5,3,10,7,10,5.1,6.0,4.875,0,0,0,0,11,0.636363636,0.363636364,1,0.0,0.0,0,1,75.0,0.0,100.0,0.0,0,1,1,0,343.0,5136.0,47077.0,0,1,2,1
54,19.0,0,2,0,0,0,0,0,0,1.0,4,1,0,1,1,0,0,1,0.037037037,0.0,0,0,0,2,0,0,0,1,5,4,3,3,7,11,11,10,7.8,7.0,8.333333332999999,0,0,0,0,208,0.596153846,0.403846154,2,0.0,0.011904762,0,1,64.70588235,80.0,20.0,11.53846154,0,1,1,0,633.0,6672.0,6935.0,0,1,5,0
128,14.0,1,2,4,0,0,0,0,0,0.0,5,1,0,0,0,0,0,1,0.3924068324499987,0.142857143,0,0,0,2,1,0,0,0,9,14,3,3,3,49,6,49,12.11111111,4.5,14.28571429,1,0,0,0,4,1.0,0.0,0,0.0,0.0,0,0,0.0,100.0,0.0,0.0,1,1,0,0,89.0,276.0,0.0,0,1,0,1
192,11.0,1,7,10,0,0,0,0,5,0.0,4,1,0,0,0,0,0,0,0.3924068324499987,0.0,0,0,0,3,0,1,0,0,24,15,1,4,1,14,4,14,4.677419355,4.0,4.7,0,0,0,0,20,1.0,0.0,0,0.0,0.0,0,0,100.0,100.0,0.0,100.0,0,1,1,0,198.0,-1.0,0.0,0,1,0,1
